asof,ticker,smirk,otm_call_oi,otm_call_oi_d5
2026-08-06,FLR,0.187498125,0.0,
2026-08-06,FNKO,-0.37499625000000003,0.0,
2026-08-06,FOUR,0.2187478125,0.0,
2026-08-06,FOX,0.187498125,0.0,
2026-08-06,FOXA,0.2187478125,0.0,
2026-08-06,FOXF,0.2187478125,0.0,
2026-08-06,FROG,0.2187478125,0.0,
2026-08-06,FSK,,0.0,
2026-08-06,FTDR,0.062499374999999996,0.0,
2026-08-06,FUN,0.187498125,0.0,
2026-08-06,FWONA,,0.0,
2026-08-06,FWONK,0.187498125,0.0,
2026-08-06,G,0.12499874999999999,0.0,
2026-08-06,GAIN,,0.0,
2026-08-06,GAU,4.01562052734375,0.0,
2026-08-06,GCT,0.12499874999999999,0.0,
2026-08-06,GEL,0.23437265625,0.0,
2026-08-06,GEN,0.187498125,0.0,
2026-08-06,GENI,,0.0,
2026-08-06,GEO,0.2187478125,0.0,
2026-08-06,GEOS,,0.0,
2026-08-06,GEVO,,0.0,
2026-08-06,GHM,0.062499374999999996,0.0,
2026-08-06,GHRS,0.2187478125,0.0,
2026-08-06,GLIBK,0.187498125,0.0,
2026-08-06,GLP,1.1308538769531251,0.0,
2026-08-06,GLUE,0.12499874999999999,0.0,
2026-08-06,GMAB,0.2187478125,0.0,
2026-08-06,GMED,0.2187478125,2.0,
2026-08-06,GNE,,0.0,
2026-08-06,GNLX,,0.0,
2026-08-06,GOGO,0.0,0.0,
2026-08-06,GOLF,,0.0,
2026-08-06,GPGI,0.12499874999999999,0.0,
2026-08-06,GPRE,0.187498125,0.0,
2026-08-06,GRDN,,0.0,
2026-08-06,GRND,0.23437265625,0.0,
2026-08-06,GRNT,,0.0,
2026-08-06,GROV,,0.0,
2026-08-06,GRPN,0.2187478125,0.0,
2026-08-06,GSAT,0.2187478125,0.0,
2026-08-06,GSBD,0.12499874999999999,0.0,
2026-08-06,GTIM,,0.0,
2026-08-06,GTN,,0.0,
2026-08-06,HAE,0.2187478125,0.0,
2026-08-06,HALO,0.2187478125,0.0,
2026-08-06,HASI,0.187498125,0.0,
2026-08-06,HCAT,,0.0,
2026-08-06,HCI,0.23437265625,0.0,
2026-08-06,HE,0.0,0.0,
2026-08-06,HELP,0.24999750000000004,0.0,
2026-08-06,HEPS,-0.24999750000000004,0.0,
2026-08-06,HG,,0.0,
2026-08-06,HIMX,0.187498125,0.0,
2026-08-06,HTT,,0.0,
2026-08-06,HTZ,,0.0,
2026-08-06,HUBG,0.187498125,0.0,
2026-08-06,HWM,0.48437015625,0.0,
2026-08-06,HYPR,,0.0,
2026-08-06,IAG,0.23437265625,0.0,
2026-08-06,IBOC,,0.0,
2026-08-06,IBP,0.2187478125,0.0,
2026-08-06,ICFI,,0.0,
2026-08-06,ICUI,0.2187478125,1.0,
2026-08-06,IDR,0.187498125,0.0,
2026-08-06,IFRX,0.0,0.0,
2026-08-06,IIIV,,0.0,
2026-08-06,IMCR,,0.0,
2026-08-06,IMKTA,0.2187478125,0.0,
2026-08-06,IMUX,2.1406205859374996,0.0,
2026-08-06,IMVT,0.2187478125,0.0,
2026-08-06,INDI,0.43749562500000005,0.0,
2026-08-06,INGN,,0.0,
2026-08-06,INMB,,0.0,
2026-08-06,INOD,0.4687453125,0.0,
2026-08-06,INSM,0.23437265625,0.0,
2026-08-06,IOVA,0.24999750000000004,0.0,
2026-08-06,IRTC,0.187498125,0.0,
2026-08-06,IRWD,0.24999750000000004,0.0,
2026-08-06,ITT,0.2187478125,0.0,
2026-08-06,JANX,0.7382738671875,0.0,
2026-08-06,JHX,0.187498125,0.0,
2026-08-06,JYNT,,0.0,
2026-08-06,KDK,0.24999750000000004,0.0,
2026-08-06,KDP,0.23437265625,0.0,
2026-08-06,KELYA,0.12499874999999999,0.0,
2026-08-06,KGS,,0.0,
2026-08-06,KINS,0.12499874999999999,0.0,
2026-08-06,KOP,0.12499874999999999,0.0,
2026-08-06,KRMN,0.12499874999999999,0.0,
2026-08-06,KRP,0.187498125,0.0,
2026-08-06,KVHI,,0.0,
2026-08-06,KVUE,0.43749562500000005,0.0,
2026-08-06,KWY,,0.0,
2026-08-06,LAMR,0.10937390625,0.0,
2026-08-06,LASR,0.4687453125,0.0,
2026-08-06,LCTX,,0.0,
2026-08-06,LCUT,-0.12499874999999999,0.0,
2026-08-06,LEG,,0.0,
2026-08-06,LFST,0.187498125,0.0,
2026-08-06,LGND,0.8422767333984374,0.0,
2026-08-06,LION,0.12499874999999999,0.0,
2026-08-06,LLYVA,0.43749562500000005,1.0,
2026-08-06,LLYVK,,0.0,
2026-08-06,LNG,0.4687453125,0.0,
2026-08-06,LNSR,0.0,0.0,
2026-08-06,LNTH,0.2187478125,0.0,
2026-08-06,LOAR,0.187498125,0.0,
2026-08-06,LOCO,0.062499374999999996,0.0,
2026-08-06,LOMA,0.0,0.0,
2026-08-06,LQDT,,0.0,
2026-08-06,LX,,0.0,
2026-08-06,LXRX,0.187498125,0.0,
